//--------------------
// Blood Castle
//--------------------
913	"There is not enough space in the trade"
914	"You do have the requirements to use this item"
915	"You cannot move Periodic Items to this place."
916	"Reserved 916"
917	"Reserved 917"
918	"Reserved 918"
919	"Reserved 919"

//--------------------
// Event Alarm Texts
//--------------------
920	"[BloodCastle] You need key +{}"
921	"[DevilSquare] You need key +{}"
922	"[ChaosCastle] You don't have the ticket"
923	"[IlussionTemple] You need input key +{}"
924	"[DoubleGoer] You don't have the ticket"
925	"[SkyEvent] You don't have the ticket"

//--------------------
// Sky Event
//--------------------
950	"You cannot move right now."
951	"You need fenrir or dinorant to enter SkyEvent."
952	"You need wings to enter SkyEvent."
953	"[SkyEvent] Stage Save Failed! Event Ended"
954	"[SkyEvent] You will be moved to Devias in {} seconds"
955	"[SkyEvent] Ended"
956	"[SkyEvent] Stage started by {} Minutes"
957	"[SkyEvent] Will start in {} seconds"
958	"[SkyEvent] Failed, Not enough players to Start"
959	"[SkyEvent] Stage will end in {} minute(s), Kill all monsters before that."
960	"[SkyEvent] Stage will end in {} minute(s)"
961	"[SkyEvent] Gate will close in {} minute(s)"
962	"[SkyEvent] Event is Full"
963	"[SkyEvent] Event is only for Masters"
964	"[SkyEvent] PKs are not Allowed to Enter"
965	"[SkyEvent] Min Level to enter is {}"
966	"[SkyEvent] Max Level to enter is {}"
967	"[SkyEvent] Min Resets to enter is {}"
968	"[SkyEvent] Max Resets to enter is {}"
969	"[SkyEvent] Min MResets to enter is {}"
970	"[SkyEvent] Max MResets to enter is {}"
971	"[SkyEvent] Min Account Level is {}"
972	"[SkyEvent] You cant bring your pathner!"
973	"[SkyEvent] You cant use this skill here.!"

//--------------------
// Ruud System
//--------------------
974	"[MasteryBox] {} Ruud obtained!"
975	"[MasteryBox] The box is empty"
976	"[Ruud] {} Ruud obtained!"
977	"[Contribution] {} obtained!"

//--------------------
// MSPro Quest System
//--------------------
980 "[Quest] {} added"
981 "[Quest] {} finished"
982 "[Quest] {} deleted"
983 "[Quest] You have reached the limit of Quest you can accept!"
984 "[Quest] {} of Zen discounted"
985 "[Quest] {} of Zen earned"
986 "[Quest] {} will be available again in {}"
987 "days"
988 "hours"
989 "minutes"

//--------------------
// TvT Event - 
//--------------------
990	"[TvTEvent] Closes in {} minute(s)"
991	"[TvTEvent] Is now open!"
992	"[TvTEvent] Closed!"
993	"[TvTEvent] Starts in {} minute(s)"
994	"[TvTEvent] Started!"
995	"[TvTEvent] Ended"
996	"[TvTEvent] You cant enter to the event!"
997	"[TvTEvent] Has closed now!"
998	"[TvTEvent] there are missing some Items!!" 
999 "You died {} times"
1000 "You kill {} users"
1001 "[BlueTeam]: {} Vs [RedTeam]: {}"
1002 "[RedTeam]: {} Vs [BlueTeam]: {}"

//--------------------
// Penalty System Messages(V7)
//--------------------
1200	"[Penalty] Wait {} minute(s) left to move"
1201	"[Penalty] Wait {} minute(s) left to Trade"
1202	"[Penalty] Wait {} minute(s) left to Buy / Sell Items."
1203	"[Penalty] Reserved 1203"
1204	"[Penalty] Reserved 1204"
1205	"[Penalty] Reserved 1205"
1206	"[Penalty] Reserved 1206"
1207	"[Penalty] Reserved 1207"
1208	"[Penalty] Reserved 1208"
1209	"[Penalty] Reserved 1209"
1210	"[Penalty] Reserved 1210"
1211	"[Penalty] Move System Enabled!"
1212	"[Penalty] Trade System Enabled!"
1213	"[Penalty] Buy / Sell Items Enabled!"
1214	"[Penalty] Reserved 1214"
1215	"[Penalty] Reserved 1215"
1216	"[Penalty] Reserved 1216"
1217	"[Penalty] Reserved 1217"
1218	"[Penalty] Reserved 1218"
1219	"[Penalty] Reserved 1219"
1220	"[Penalty] Reserved 1220"
1221	"[Penalty] Reserved 1221"
1222	"[Penalty] {} WC-Coins discounted"
1223	"[Penalty] {} WP-Coins discounted"
1224	"[Penalty] {} GoblinPoints discounted"
1225	"[Penalty] {} Zen discounted"
1226	"[Penalty] You have dropped {}!"
1227	"[Penalty] Reserved 1227"
1228	"[Penalty] Reserved 1228"
1229	"[Penalty] Reserved 1229"
1230	"[Penalty] Reserved 1230"
1231	"[Penalty] Reserved 1231" 

//--------------------
// Reset System(V8)
//--------------------
1250	"You don't meet the requirements. Go back to Lvl:{}"
1251	"You are weak, come back when you have {} Resets."
1252	"Insufficient WC-Coins. You need {}"
1253	"Insufficient WP-Coins. You need {}"
1254	"Not enough Goblin Points. You need {}"
1255	"Insufficient Zen. You need to have {} of Zen"
1256	"You don't have the required item for this!"
1257	"Inventory reset successfully!"
1258	"SkillsList successfully reset!"
1259	"Quest reset successfully!"
1260	"Skill Tree reset successfully!"
1261	"Goblin Points have disappeared!"
1262	"You won {} LevelPoints"
1263	"You have received a blessing from the gods!"

//--------------------
// Sistema de Resets con Limite
//--------------------
1264	"Has llegado al Limite de {} Resets"
1265	"Has llegado al Limite de {} Master Resets"
1266	"Atencion! El Limite de Resets volvio a 0"
1267	"Atencion! El Limite de Master Resets volvio a 0" 

//--------------------
// QuestSystem
//--------------------
1268    "Must wait "
1269    "days"
1270    "hours"
1271    "minutes"
1272    "seconds"


//--------------------
// Post Item System(V10)
//--------------------
1300	"[PostItem] Only Guild Masters can use this command."
1301	"[PostItem] You need to be between {} and {} Level."
1302	"[PostItem] Only MasterLevel are allowed."
1303	"[PostItem] You need to be between {} and {} MasterLevel."
1304	"[PostItem] You need to be between {} and {} Reset."
1305	"[PostItem] You need to be between {} and {} MasterReset."
1306	"[PostItem] You have canceled"
1307	"[PostItem] Reserved 1307"
1308	"[PostItem] Reserved 1308"
1309	"[PostItem] Reserved 1309"
1310	"[PostItem] You have canceled {} from Zen."
1311	"[PostItem] Reserved 1311"
1312	"[PostItem] Reserved 1312"
1313	"[PostItem] Reserved 1313"
1314	"[PostItem] Reserved 1314"
1316	"[PostItem] Reserved 1315"
1317	"[PostItem] This item is allowed between Level {} and {}"
1318	"[PostItem] This item is only allowed with Skill."
1319	"[PostItem] This item is only allowed with Luck."
1320	"[PostItem] This item have Life Option out of range"
1321	"[PostItem] This item have Excellent options count not allowed."
1322	"[PostItem] This item is only allowed if it is Ancient."
1323	"[PostItem] This item is over allowed Socket Options."
1324	"[PostItem] Reserved 1324"
1325	"[PostItem] Reserved 1325"
1326	"[PostItem] Reserved 1326"
1327	"[PostItem] Reserved 1327"
1328	"[PostItem] Reserved 1328"
1329	"[PostItem] Reserved 1329"
1330	"[PostItem] Reserved 1330" 

//--------------------
// ConnectMember(V8)
//--------------------
1380	"Only allowed accounts can enter!"
1381	"You have entered the server with full permissions!"
1382	"Only GameMasters can enter this server!"
1383	"Only certain characters can enter this server!"
1384	"[ConnectMember] Reserved 1384"
1385	"[ConnectMember] Reserved 1385"
1386	"[ConnectMember] Reserved 1386"
1387	"[ConnectMember] Reserved 1387"
1388	"[ConnectMember] Reserved 1388"
1389	"[ConnectMember] Reserved 1389"
1390	"[ConnectMember] Reserved 1390"

//--------------------
// Events
//--------------------
1500	"[Happy Hour] Started"
1501	"[Happy Hour] Ended"
1502	"Lord Of Ferea Arrive!"
1503	"Lord Of Ferea killed by {}"
1504	"Ferea General killed by {}"
1505	"Lord Of Ferea Protection Fall!"
1506	"Ferea Army has come to reinforce the fortress!"
1507	"Lord Of Ferea Retreated"
1508	"Ferea Fortress has fallen!"
1509	"Reserved 1509"
1510	"Reserved 1510"
1511	"Reserved 1511"
1512	"Reserved 1512"
1513	"Reserved 1512"
1514	"Nixie Boss Arrive!"
1515	"Nixie Boss Magic Down!"
1516	"Nixie Boss killed by {}"
1517	"Nixie Boss Protected & Army Arrive!!"
1518	"Nixie Boss Army Arrive!"
1519	"Nixie Boss Army are Back!"
1520	"Event is currently inactive."
1521	"Event has already started, come back later."
1522    "The event started, come back later."
1523    "Come back in {} Minutes"
1524    "You need {} to access."
1525    "You entered the event thanks to {}"

//--------------------
// Party Gap Messages(V7)
//--------------------
1800	"[Party GAP] Creation failed. Maximum difference of {} levels."
1801	"[Party GAP] User Rejected, as it exceeds limit by {} levels."
1802	"[Party GAP] User Rejected, needs {} levels to enter."
1803	"[Party GAP] User Rejected, as it exceeds limit by {} Reset."
1804	"[Party GAP] User Rejected, needs {} Reset to enter."
1805	"[Party GAP] User Rejected, as it exceeds limit by {} MReset."
1806	"[Party GAP] User Rejected, needs {} MReset to enter."
1807	"[Party] You can't include more DW!"
1808	"[Party] You can't include more DK!"
1809	"[Party] You can't include more FE!"
1810	"[Party] You can't include more MG!"
1811	"[Party] You can't include more DL!"
1812	"[Party] You can't include any more Summoners!"
1813	"[Party] You can't include more RageFighters!"
1814	"[Party] You already have too many normal users!"
1815	"[Party] You already have too many VIP 1 users!"
1816	"[Party] You already have too many VIP 2 users!"
1817	"[Party] You already have too many VIP 3 users!" 

//--------------------
//Interface Manager(V6)
//--------------------
1850	"You don't have enough Zen"
1851	"You don't belong to that guild"
1852	"You don't have the items."
1853	"[ANTI-HACK] Recv forbidden Info"
1854	"A problem has occurred! ({})"
1855	"A problem has occurred! (Z{} /{} /{})"
1856	"You have not met the requirements, come back later"
1857	"Welcome to Sky Event, take care!"
1858	"[ERROR] [Check Event ID {}]"
1859	"I cannot assist you at this time"
1860	"[{}] The minimum level to enter is {}"
1861	"[{}] The maximum level to enter is {}"
1862	"[{}] The minimum Reset to enter is {}"
1863	"[{}] The maximum Reset to enter is {}"
1864	"[{}] The minimum MasterReset to enter is {}"
1865	"[{}] The maximum MasterReset to enter is {}"
1866	"[{}] PKs are not allowed there"
1867	"[{}] Rank User Wrong"
1868	"[{}] Only privileged users can enter" 
1869	"{} Resets gained"
1870	"{} M.Resets gained"
1871	"{} LevelUpPoints gained"
1872	"{} Resets removed"
1873	"{} M.Resets removed"
1874	"{} LevelUpPoints removed"

//--------------------
// Bet Duel & Messages
//--------------------
1900	"Wait ..."
1901	"You are wanting to get out of duel"
1902	"You are wanting to duel"
1903	"{} is triying to quit the duel!!"
1904	"[Error {}] You cannot run Off Helper at this time."
1905	"Off Helper is inactive. Please try again later."
1906	"You cannot use the Off Helper on this map." 

//--------------------
// Custom Monster Message(V7)
//--------------------
1980	"[Custom Monster] Reserved 1980"
1981	"[Custom Monster] Reserved 1981"
1982	"[Custom Monster] Reserved 1982"
1983	"[Custom Monster] Reserved 1983"
1984	"Congratulations! Vip Earned by {} days"
1985	"Congratulations! Access to Kalima {} was granted to you"
1986	"You have been taken to this map by the {}"
1987	"[Custom Monster] Reserved 1987"
1988	"[Custom Monster] Reserved 1988"
1989	"[Custom Monster] Reserved 1989"
1990	"[Custom Monster] Reserved 1990"
1991	"[Custom Monster] Reserved 1991"
1992	"[Custom Monster] Reserved 1992"
1993	"[Custom Monster] Reserved 1993"
1994	"[Custom Monster] Reserved 1994"
1995	"[Custom Monster] Reserved 1995"
1996	"[Custom Monster] Reserved 1996"
1997	"[Custom Monster] Reserved 1997"
1998	"[Custom Monster] Reserved 1998"
1999	"[Custom Monster] Reserved 1999" 

//--------------------
//
//--------------------
2000	"The Blood Castle Protector has appeared, BE CAREFUL !!"
2001	"{} killed the Protector Of Blood Castle, his Force is Absolute"
2002	"The Devil Square Protector has appeared, BE CAREFUL !!"
2003	"{} killed the Protector Del DevilSquare, his Force is Absolute"
2004	"The Protector of Chaos Castle has appeared, BE CAREFUL !!"
2005	"{} killed the Protector Of ChaosCastle, his Force is Absolute"
2006	"Medussa Has Invaded Lorencia!"
2007	"{} kill for the video"
2008	"With this pet, you can't go to that place"
2009	"With this pet, Maya has rejected you."
2010	"With this pet, the BloodCastle is not for you."
2011	"With this pet, the ChaosCastle is not for you."
2012	"This pet cannot be repaired."
2013	"You cannot repair this pet, by this method!"
2014	"[Bless] The pet has been repaired."
2015	"You cannot repair this pet, by this method!"
2016	"[Life] The pet has been repaired."
2017	"To repair items, you must close the windows"
2018	"The movement of items Lvl 11 are prohibited"
2019	"The movement of items Lvl 12 are prohibited [12]"
2020	"The movement of items Lvl 13-14 are prohibited [13/14]"
2021	"The movement of items Lvl 15 are prohibited [15]" 

//--------------------
// Lock Manager V10
//--------------------
2100	"[LockManager] Purchases / Sales are protected!"
2101	"[LockManager] Item Movements are protected!"
2102	"[LockManager] You can't get off this map!"
2103	"[LockManager] You can't give out points!"
2104	"[LockManager] You cannot use the Off-Personal Store."
2105	"[LockManager] You cannot use the Jewel Bank"
2106	"[LockManager] You cannot reset."
2107	"[LockManager] You cannot do MasterReset."
2108	"[LockManager] The use of commands is protected!"
2109	"[LockManager] Pet Inventory is protected!"
2110	"[LockManager] Protected Account" 


2150	"[JewelBank] You don't have enough space"
2151	"[JewelBank] Can't save more than {} of {}"



//--------------------
// Account Limit Access(V9)
//--------------------
2200	"Your Character {} has been disconnected(HardwareID-Limit)"
2201	"Your Character {} has been disconnected(IP-Limit)"

//--------------------
// Custom Arena (V10)
//--------------------
2202 	"[{}] will close in {} minute(s)"
2203 	"[{}] closed"
2204 	"[{}] will start in {} minute(s)"
2205 	"[{}] started"
2206 	"[{}] finished"
2207 	"[{}] {} is the winner"
2208 	"[{}] You got in the {} position with {} points"
2209 	"You can not enter the arena"
2210 	"This arena is not currently open"
2211 	"Exceeded maximum number of players"
2212 	"You must be at least Level {}"
2213 	"You must be a maximum of Level {}"
2214 	"You must be at least Master Level {}"
2215 	"You must be at most Master Level {}"
2216 	"You must be at least {} Resets"
2217 	"You need to have a maximum of {} Resets"
2218 	"You must be at least {} Master Resets"
2219 	"You need to have a maximum of {} Master Resets"
2220 	"His class is not allowed in the arena"

//--------------------
// Custom EventDrop (V10)
//--------------------
2221	"[{}] will start in {} minute(s)"
2222	"[{}] started"
2223	"[{}] finished"

//--------------------
// Online Lottery (V10)
//--------------------"
2224	"{} en {} minute(s)"
2225	"{} He was the winner, congratulations!!"
2226	"{} no winner."

//--------------------
// Chaos Mix Announce (V10)
//--------------------
2227	"{} put the item {} +15"

//--------------------
// KeepMU
//--------------------
2500	"[KeepMU] Speed Attack Detected!"
2501	"[KeepMU] Speed Walk Detected!"

//--------------------
// Flags System (V11)
//--------------------
2600 "[Flags] Your Account Level can't buy this Flag"
2601 "[Flags] Need to be Level {} or higher to buy this flag"
2602 "[Flags] Need {} Resets to buy this Flag"
2603 "[Flags] Need {} Zen to buy this Flag"
2604 "[Flags] Need {} WP to buy this Flag"
2605 "[Flags] Need {} WC to buy this Flag"
2606 "[Flags] Need {} GP to buy this Flag"
2607 "[Flags] Need {} Ruuds to buy this Flag"
2608 "[Flags] {} Zen removed"

//--------------------
// SkyEvent V2
//--------------------
2700	"[SkyEvent] {} points Added!"
2701	"[SkyEvent] {} paid your ticket!"
2702	"[SkyEvent] PvP Stage Started!!!"

//--------------------
// Conqueror Event
//--------------------
2800	"[ConquerorEvent] Registration will close in {} minute(s)"
2801	"[ConquerorEvent] Registration Ended"
2802	"[ConquerorEvent] Failed, Not enough players to Start"
2803	"[ConquerorEvent] Ended"
2804	"[ConquerorEvent] Started"
2805	"[ConquerorEvent] No Players! Event Ended"
2806	"[ConquerorEvent] Will start in {} seconds"
2807	"[ConquerorEvent] Registrado. Hay {} Contrincantes"
2808	"[ConquerorEvent] Player {} Die. Got {} Points"
2809	"[ConquerorEvent] You Lost all Points by {}"

//--------------------
// Gremory Case
//--------------------
2850	"[Gremory] Item added to Character Gremory!"
2851	"[Gremory] Item added to Account Gremory!"

//--------------------
// Party Manager
//--------------------
2900	"[Party] Must wait {} seconds before Request enter to another Party"
2901	"[Party] Invalid Party"
2902	"[Party] Invalid is FULL"
2903	"[Party] Entered password is wrong"
2904	"[Party] Requirement Min Level Error"
2905	"[Party] Requirement Max Level Error"
2906	"[Party] Requirement Min Resets Error"
2907	"[Party] Requirement Max Resets Error"
2908	"[Party] Requirement Min Master Resets Error"
2909	"[Party] Requirement Max Master Resets Error"
2910	"[Party] Party leader can't check your Request right now"
2911	"[Party] Request sended to Party Leader"
2912	"- Please wait for the approbation to enter!"
2913	"[Party] You have a Party Request from {}"
2914	"[Party] Request is expired"
2915	"[Party] Leader reject your request to enter"
2916	"[Party] Settings saved"

//--------------------
// Boss Penalty
//--------------------
2950	"[BossPenalty] "
2951	"{} Levels"
2952	"{} Resets"
2953	"{} M.Resets"
2954	"{} Zen"
2955	"{} WP"
2956	"{} WC"
2957	"{} GP"
2958	"{} Ruud"
2959	" reduced"
2960	"[BossPenalty] An item was cursed and disappeared from your inventory!"
2961	"[BossPenalty] An item was cursed and some options where downgraded!"

//--------------------
// MSJ Kill Boss/Monster
//--------------------
3000	"{} killed the boss, congrulations!!"
end
